Name,RA,Dec,D,z,Origin,F60,F70,F100,F160,F250,F350,F500,sigma60,sigma70,sigma100,sigma160,sigma250,sigma350,sigma500,L_IR
HATLAS J121253.6-002203,183.223376,-0.367607,2.3495840998904105e+25,0.18539,H-ATLAS,,,122.7596511792075,133.3764795559198,102.297,44.937999999999995,17.756,,,26.1308,30.3228,6.507,7.382,7.677,
HATLAS J121418.6-023029,183.5777,-2.508129,1.388661361589041e+25,0.10957,H-ATLAS,,,160.6139752065912,375.1846920078322,131.864,68.9,19.376,,,82.0962,79.51429999999999,7.343999999999999,8.078,8.427999999999999,
HATLAS J122039.8-000130,185.166198,-0.025276,3.7400197846575344e+24,0.02951,H-ATLAS,,,220.1246511792075,322.81247955591977,125.937,79.473,34.972,,,41.3164,47.9445,7.157,8.128,8.746,
HATLAS J120736.6+004747,181.902692,0.796549,1.2022306905205479e+25,0.09486,H-ATLAS,,,215.0526511792075,172.54447955591976,117.773,37.621,20.031,,,41.3164,47.9445,6.978,7.753,8.213,
HATLAS J114451.1-004007,176.213284,-0.668867,3.308098828164383e+25,0.26102,H-ATLAS,,,103.2356511792075,190.37547955591978,100.868,60.214,19.27,,,41.3164,47.9445,6.472,7.388999999999999,7.801,
HATLAS J121620.8+002550,184.087019,0.430652,1.044822877150685e+25,0.08244,H-ATLAS,,,388.3516511792075,398.4934795559198,133.30100000000002,65.005,24.688000000000002,,,41.3164,47.9445,7.342,8.153,8.697999999999999,
HATLAS J115443.7-011241,178.682434,-1.211508,9.785392327123287e+24,0.07721,H-ATLAS,,,299.0116511792075,247.74847955591977,135.25,54.231,14.642000000000001,,,41.3164,47.9445,7.3870000000000005,8.074,8.401,
HATLAS J121206.9-010422,183.028898,-1.073041,1.4496220364931506e+25,0.11438,H-ATLAS,,,237.74665117920748,223.72647955591975,100.163,40.917,18.637999999999998,,,29.2151,33.9019,6.438,7.3790000000000004,7.643,
HATLAS J115741.2+001701,179.422043,0.283885,1.3720587661369863e+25,0.10826,H-ATLAS,,,109.691,154.421,101.972,46.059000000000005,10.238999999999999,,,29.2151,33.9019,6.590999999999999,7.392,7.675999999999999,
HATLAS J115037.9+012038,177.658101,1.343941,1.1917114888219179e+25,0.09403,H-ATLAS,,,107.99665117920749,209.7814795559198,123.914,50.44,29.65,,,41.3164,47.9445,7.191000000000001,8.193999999999999,8.87,
HATLAS J115420.8+000840,178.587038,0.144551,1.3908158968767123e+25,0.10974,H-ATLAS,,,232.7346511792075,217.74247955591977,134.374,68.718,49.586,,,41.3164,47.9445,7.381,8.111,8.59,
HATLAS J113443.9-004332,173.683271,-0.725621,9.661189704657536e+24,0.07623,H-ATLAS,,,213.6326511792075,239.77547955591976,128.165,51.907000000000004,21.084,,,41.3164,47.9445,7.337,8.086,8.564,
HATLAS J121337.7-000949,183.407267,-0.163671,5.7400622184657534e+25,0.45291,H-ATLAS,,,51.578151179207495,222.54747955591978,102.337,51.41,22.297,,,41.3164,47.9445,6.571,7.412,7.741,
HATLAS J113858.4-001629,174.743703,-0.274834,2.0776057041643837e+25,0.16393,H-ATLAS,,,187.93265117920748,179.15947955591977,130.1,59.675,27.753,,,41.3164,47.9445,7.267,8.318000000000001,8.656,
