HRS,D,T2,T_up2,T_low2,log_M2,log_M_up2,log_M_low2,beta,beta_up,beta_low,T,T_up,T_low,log_M,log_M_up,log_M_low
HRS-78,18.13,19.8,0.5,0.5,6.67,0.05,0.05,1.4,0.4,0.4,24,3.5,2.7,6.49,0.12,0.13
HRS-79,21.54,19.9,1,1,6.49,0.08,0.08,1.4,0.6,0.6,23.9,6.2,4.1,6.33,0.18,0.2
HRS-80,17,17.7,1.1,1.1,6.84,0.09,0.09,1.7,0.6,0.6,19.3,4.2,3.3,6.75,0.21,0.2
HRS-81,17,22.4,0.3,0.3,7.14,0.02,0.02,2,0.1,0.1,22.8,1,0.9,7.12,0.04,0.04
HRS-82,17,23.4,1,1,6.09,0.06,0.06,1.7,0.4,0.4,25.7,4.3,3.4,6.02,0.12,0.13
HRS-83,17.6,19.8,1.3,1.4,6,0.1,0.1,0.9,0.4,0.4,30.4,8.6,5.7,5.65,0.18,0.18
HRS-84,17,21.2,0.4,0.4,6.4,0.03,0.03,2,0.2,0.2,21,1.3,1.2,6.4,0.06,0.06
HRS-85,15.31,21.4,0.4,0.4,7.36,0.03,0.03,1.8,0.1,0.1,23.2,1.3,1.2,7.29,0.05,0.05
HRS-86,17,,,,,,,1.2,0.2,0.2,26.2,3.4,2.9,6.86,0.11,0.11
HRS-87,17,22.8,1.1,1,6.15,0.07,0.07,2,0.5,0.5,22.5,4.3,3.2,6.16,0.15,0.15
HRS-88,17,20.5,0.9,0.9,7.26,0.06,0.05,1.3,0.3,0.3,26.3,3.8,3,7.03,0.11,0.11
HRS-89,17,,,,,,,1.1,0.1,0.1,24.9,1.5,1.4,7.19,0.06,0.05
HRS-91,17,19.6,0.3,0.3,7.81,0.03,0.03,2,0.2,0.2,19.8,1.2,1.1,7.8,0.06,0.06
HRS-92,17,19.4,0.6,0.6,6.59,0.05,0.05,1.6,0.3,0.3,22.1,2.4,2,6.46,0.1,0.1
HRS-93,15.59,21,0.8,0.8,6.4,0.07,0.07,2,0.5,0.5,20.9,3.6,2.8,6.4,0.14,0.15
HRS-94,17,,,,,,,1,0.2,0.2,23.5,1.9,1.7,6.87,0.07,0.07
HRS-95,17,24.5,0.3,0.3,6.64,0.02,0.02,2.2,0.1,0.1,22.9,0.9,0.9,6.69,0.04,0.04
HRS-96,17,22.3,0.3,0.3,7.31,0.02,0.02,2.1,0.1,0.1,21.3,0.8,0.8,7.35,0.04,0.04
HRS-97,17,18.7,0.3,0.3,7.77,0.02,0.02,1.9,0.1,0.1,19.1,0.8,0.8,7.75,0.04,0.04
HRS-98,17,,,,,,,1.4,0.2,0.2,22.7,1.5,1.3,6.8,0.06,0.06
HRS-99,17,22.5,0.4,0.4,6,0.03,0.03,2.4,0.2,0.2,20.2,1.3,1.2,6.09,0.06,0.06
HRS-100,17,,,,,,,2.3,0.1,0.1,19.8,0.5,0.5,7.17,0.03,0.03
HRS-102,17,,,,,,,2.3,0.1,0.1,21,1,0.9,8.06,0.04,0.05
HRS-106,23,20.5,1.2,1.2,6.74,0.08,0.08,1.7,0.5,0.5,22.8,4.7,3.6,6.65,0.17,0.17
HRS-107,17,19.2,0.6,0.6,6.4,0.05,0.05,1.6,0.3,0.3,21.8,2.6,2.2,6.29,0.1,0.1
HRS-108,23,22.6,0.9,0.9,6.24,0.06,0.06,2.2,0.5,0.4,21.4,3.1,2.5,6.29,0.12,0.11
HRS-109,17,,,,,,,1.2,0.2,0.2,24.5,2.2,1.9,6.56,0.08,0.08
HRS-110,17,,,,,,,1.4,0.2,0.2,25.4,1.9,1.7,6.76,0.06,0.06
HRS-111,17,,,,,,,2.3,0.1,0.1,19.3,0.5,0.4,7.43,0.02,0.02
HRS-112,23,21.4,0.8,0.8,6.34,0.06,0.06,1.6,0.4,0.4,24.2,3.7,2.9,6.23,0.12,0.12
HRS-113,17,19.7,0.2,0.2,7.63,0.01,0.01,2.2,0.1,0.1,18.7,0.5,0.5,7.69,0.03,0.03
HRS-114,17,22.9,0.3,0.3,7.91,0.02,0.02,2,0.1,0.1,23.2,1,0.9,7.91,0.04,0.04
HRS-115,17,21.6,0.6,0.6,6.04,0.04,0.05,1.8,0.3,0.3,23.1,2.5,2.1,5.99,0.09,0.09
HRS-117,23,20.2,0.4,0.4,7.24,0.03,0.03,2.3,0.2,0.2,18.7,1.1,1,7.31,0.06,0.06
HRS-118,17,20.4,1.1,1.1,6.32,0.08,0.08,1.2,0.5,0.4,26.7,6.2,4.3,6.09,0.16,0.17
HRS-119,17,22.3,0.5,0.5,6.82,0.04,0.04,2.6,0.3,0.3,19.2,1.6,1.4,6.95,0.08,0.08
HRS-120,17,20.3,0.4,0.4,6.92,0.04,0.04,2.4,0.3,0.3,18.4,1.4,1.3,7.01,0.07,0.07
HRS-121,23,20.4,0.2,0.2,7.25,0.02,0.02,2.1,0.1,0.1,20.1,0.7,0.6,7.27,0.03,0.03
HRS-122,17,21.1,0.3,0.3,8.09,0.03,0.03,2.2,0.2,0.2,19.9,1.1,1.1,8.15,0.05,0.05
HRS-123,17,19,0.7,0.7,6.67,0.05,0.05,2,0.3,0.3,19.2,2.1,1.9,6.66,0.12,0.11
HRS-124,17,18.9,0.7,0.7,6.98,0.05,0.05,1.8,0.4,0.3,19.9,2.4,2,6.93,0.12,0.11
HRS-127,23,20.4,0.3,0.3,7.14,0.02,0.02,2,0.1,0.1,20.6,0.9,0.8,7.13,0.04,0.04
HRS-128,23,17.7,0.5,0.5,6.76,0.04,0.04,2,0.3,0.3,17.8,1.7,1.5,6.76,0.1,0.1
HRS-130,17,20.5,0.7,0.7,6.52,0.05,0.05,1.7,0.3,0.3,22.6,2.7,2.3,6.44,0.1,0.1
HRS-131,23,19.1,0.8,0.8,6.55,0.07,0.07,2.5,0.6,0.5,16.7,2.7,2.3,6.69,0.17,0.16
HRS-132,23,,,,,,,0.8,0.4,0.4,33.8,8.9,5.8,6.12,0.15,0.17
HRS-133,17.9,,,,,,,0.6,0.3,0.3,27.1,4.9,4,6.53,0.15,0.14
HRS-134,23,20.8,0.7,0.7,6.7,0.05,0.05,2.3,0.4,0.4,19.1,2.2,1.9,6.77,0.11,0.11
HRS-136,23,22.4,0.3,0.3,6.75,0.02,0.02,2.4,0.2,0.2,20,1,0.9,6.84,0.05,0.05
HRS-139,23,21.3,0.6,0.6,6.59,0.04,0.04,1.4,0.3,0.3,26.1,3.4,2.7,6.42,0.1,0.1
HRS-140,17,17.4,0.8,0.8,7.01,0.08,0.07,2.1,0.5,0.4,17.1,2.5,2.2,7.03,0.17,0.15
HRS-141,23,18.6,0.3,0.3,7.39,0.03,0.03,2.3,0.3,0.2,17.4,1.1,1,7.45,0.07,0.06
HRS-143,23,,,,,,,1.5,0.1,0.1,23.3,1.2,1.1,7.17,0.05,0.05
HRS-144,17,23.9,0.3,0.3,7.07,0.02,0.02,1.9,0.2,0.2,24.4,1.5,1.3,7.05,0.05,0.05
HRS-146,23,20.1,0.4,0.4,6.87,0.03,0.03,1.5,0.2,0.2,24.1,1.9,1.7,6.71,0.07,0.07
